index,parentObjectID,childObjectID,relationship
8,74169,74170,inseparable
38,123152,124418,separable
75,46957,46958,inseparable
84,122970,144516,inseparable
92,164865,125320,separable
125,68569,68570,inseparable
128,218993,221438,separable
199,206126,8,separable
223,74188,74189,inseparable
241,3933,3934,inseparable
257,69092,69093,inseparable
275,75293,133780,separable
292,141607,120692,separable
314,141612,120716,separable
356,92066,92067,inseparable
375,91262,91263,inseparable
387,218993,221432,separable
409,67545,67546,inseparable
415,108233,108234,inseparable
434,122097,144459,inseparable
463,159409,167941,inseparable
474,163783,164741,inseparable
483,66561,66564,inseparable
526,133974,133975,inseparable
545,123150,124438,separable
550,75862,75863,inseparable
586,184310,206533,inseparable
589,74215,74216,inseparable
597,139301,139302,inseparable
654,74563,74564,inseparable
685,143802,151226,inseparable
692,63267,63268,inseparable
789,75853,75854,inseparable
814,93017,93018,inseparable
819,118734,144443,inseparable
831,66565,66566,inseparable
847,134403,134404,inseparable
867,181107,213003,inseparable
982,59478,59479,inseparable
1019,218993,221427,separable
1022,34,0,separable
1069,74229,74230,inseparable
1106,76100,76101,inseparable
1187,65699,65700,separable
1229,136962,137515,separable
1242,1154,1156,separable
1287,36694,36697,inseparable
1306,69208,69209,inseparable
1307,77435,77436,inseparable
1361,206124,893,separable
1429,61095,61096,inseparable
1450,68938,68939,inseparable
1455,62300,62301,inseparable
1510,123178,124465,separable
1570,60813,60814,inseparable
1622,133596,144531,inseparable
1653,56551,56552,inseparable
1665,78151,78152,inseparable
1669,133657,144546,inseparable
1687,124424,124429,separable
1693,181030,206609,inseparable
1711,51437,51438,inseparable
1714,67608,67609,inseparable
1803,69180,69181,inseparable
1811,143762,152255,inseparable
1821,156455,164227,separable
1866,128496,128497,inseparable
1879,34,33,separable
1883,33339,33340,inseparable
1914,8643,8644,inseparable
1915,76045,76046,inseparable
1993,11389,11390,inseparable
2023,36703,36704,inseparable
2084,129343,144474,inseparable
2099,36711,36714,inseparable
2101,74978,74979,inseparable
2113,133673,144530,inseparable
2135,76043,76044,inseparable
2165,42101,42102,inseparable
2202,74241,74242,inseparable
2217,66553,66556,inseparable
2278,182224,206664,inseparable
2287,69662,69663,inseparable
2308,69013,69014,inseparable
2330,74217,74218,inseparable
2373,112560,112561,inseparable
2374,214226,214225,separable
2513,67933,67934,inseparable
2529,143842,151202,inseparable
2531,110205,110206,inseparable
2540,206122,3,separable
2541,53157,152824,inseparable
2642,63129,63130,inseparable
2657,137057,138673,separable
2679,56354,56355,inseparable
2690,122047,144454,inseparable
2744,57428,57430,separable
2758,45657,45658,inseparable
2760,122767,144498,inseparable
2772,139317,159865,inseparable
2804,69335,69336,inseparable
2860,98207,98208,inseparable
2868,69065,69066,inseparable
2905,74245,74246,inseparable
2942,206071,41585,separable
2946,112489,112490,inseparable
2984,218993,221417,separable
2986,112454,112455,inseparable
3016,98227,98228,inseparable
3106,63007,63008,inseparable
3125,74978,74983,inseparable
3134,122543,144486,inseparable
3161,79352,79353,inseparable
3164,159673,165316,inseparable
3196,122916,144512,inseparable
3225,157761,157775,inseparable
3229,216779,55598,separable
3264,138670,137056,separable
3272,69227,69228,inseparable
3283,142537,210086,inseparable
3287,200565,205088,inseparable
3295,760,761,inseparable
3327,36707,36710,inseparable
3362,132823,144410,inseparable
3380,67540,67541,inseparable
3385,184300,206639,inseparable
3412,73857,73858,inseparable
3438,4887,4888,inseparable
3468,66770,66771,inseparable
3504,73490,73491,inseparable
3508,75152,75153,inseparable
3594,77805,153274,inseparable
3600,122404,144470,inseparable
3695,122551,144487,inseparable
3712,69221,69222,inseparable
3743,194709,213864,inseparable
3787,141602,120713,separable
3811,53395,53396,inseparable
3814,69254,69255,inseparable
3834,69131,69132,inseparable
3845,77821,77822,inseparable
3919,71238,163768,inseparable
3923,70333,70334,inseparable
3929,47899,47900,inseparable
3932,63608,63609,inseparable
4002,56957,56958,inseparable
4021,218993,221434,separable
4033,98216,98217,inseparable
4052,75944,75945,inseparable
4053,73850,73851,inseparable
4089,74978,74987,inseparable
4107,216779,55597,separable
4114,56580,56581,inseparable
4120,67550,67551,inseparable
4125,41633,41634,separable
4167,77812,153163,inseparable
4201,62976,62977,inseparable
4205,141612,120717,separable
4210,141602,120712,separable
4242,112460,112461,inseparable
4246,74978,74984,inseparable
4310,204932,404,separable
4341,68822,68823,inseparable
4349,67606,67607,inseparable
4373,59926,59927,inseparable
4421,56146,212563,inseparable
4424,11380,11381,inseparable
4429,123178,124464,separable
4470,141600,120706,separable
4472,72665,169108,inseparable
4508,138647,138648,inseparable
4533,141580,120701,separable
4542,122932,144514,inseparable
4580,71269,71270,inseparable
4617,135640,135641,inseparable
4644,164737,125318,separable
4656,41625,41626,separable
4660,164737,121488,separable
4670,74566,74567,inseparable
4691,122095,144458,inseparable
4720,206127,31,separable
4727,63005,63006,inseparable
4733,76123,76124,inseparable
4745,206072,167923,separable
4800,181893,209454,inseparable
4801,93004,93005,inseparable
4821,218993,221439,separable
4827,108222,108223,inseparable
4846,41659,41660,inseparable
4877,218993,221418,separable
4884,110702,110703,inseparable
4938,141591,120785,separable
4942,122364,144466,inseparable
4947,182,184,separable
4951,122409,144473,inseparable
4967,123178,124461,separable
4983,486,487,separable
5038,67575,67576,inseparable
5103,68739,68740,inseparable
5118,111637,140100,separable
5131,33755,33756,inseparable
5174,102928,102929,inseparable
5181,51443,51444,inseparable
5186,74243,74244,inseparable
5192,108236,108237,inseparable
5214,130962,130963,inseparable
5232,61458,61459,inseparable
5234,67562,67563,inseparable
5290,169091,203013,separable
5313,36694,36695,inseparable
5318,111637,140099,separable
5324,12143,41683,separable
5387,134272,134273,inseparable
5402,148232,150771,inseparable
5466,75949,75950,inseparable
5495,121966,144450,inseparable
5498,11401,11402,inseparable
5503,182613,206685,inseparable
5545,164740,110070,separable
5562,164865,125322,separable
5582,216779,55599,separable
5585,184842,206516,inseparable
5622,74237,74238,inseparable
5633,142535,163738,inseparable
5680,75885,75886,inseparable
5796,138659,138660,inseparable
5815,7346,7347,inseparable
5817,141603,120711,separable
5839,73401,73402,inseparable
5840,74163,74164,inseparable
5847,47901,47902,inseparable
5875,184829,206508,inseparable
5905,72666,169109,inseparable
5918,123178,124462,separable
5976,66561,66563,inseparable
6085,122845,144504,inseparable
6092,9741,9742,inseparable
6118,112310,112311,inseparable
6144,75937,75938,inseparable
6156,53591,53592,inseparable
6207,112451,112452,inseparable
6215,63133,63134,inseparable
6257,141598,120714,separable
6325,4763,4764,inseparable
6355,123151,124434,separable
6452,49063,49064,inseparable
6468,76075,76076,inseparable
6496,122029,144453,inseparable
6526,69206,69207,inseparable
6533,132676,219524,inseparable
6563,36711,36712,inseparable
6573,184390,206513,inseparable
6604,93830,93878,inseparable
6678,125733,125734,inseparable
6682,78161,125559,separable
6696,122733,144497,inseparable
6717,42952,42953,inseparable
6740,41661,41662,inseparable
6763,106722,106723,inseparable
6768,116709,116710,inseparable
6815,74253,74254,inseparable
6863,139327,144649,inseparable
6886,36707,36709,inseparable
6921,106740,106741,inseparable
6951,123375,123376,inseparable
6981,182,183,separable
7007,74785,74786,inseparable
7022,112458,112459,inseparable
7040,119071,119072,inseparable
7061,63151,63152,inseparable
7096,129443,129444,inseparable
7200,69257,69258,inseparable
7202,139265,139266,inseparable
7213,69052,69053,inseparable
7267,74561,74562,inseparable
7271,108659,108660,inseparable
7280,69993,69994,inseparable
7310,159429,167946,inseparable
7329,106733,150296,inseparable
7353,97590,97591,inseparable
7357,143710,151242,inseparable
7378,74872,74873,inseparable
7444,180921,206586,inseparable
7451,62934,62935,inseparable
7454,72080,72081,inseparable
7460,141599,120708,separable
7469,74261,74262,inseparable
7481,122844,144503,inseparable
7506,9223,9224,inseparable
7534,76114,76115,inseparable
7569,136962,137516,separable
7573,41598,41599,inseparable
7591,56285,56286,inseparable
7606,164740,98640,separable
7641,130959,130960,inseparable
7657,69141,69142,inseparable
7682,141598,120715,separable
7717,111637,140101,separable
7721,204723,208346,inseparable
7754,103451,101584,separable
7817,139337,159866,inseparable
7827,71591,71592,inseparable
7841,66567,66569,inseparable
7859,143848,151238,inseparable
7860,123150,124436,separable
7868,184294,209286,inseparable
7899,33753,33754,inseparable
7922,164736,116283,separable
7923,126911,126912,inseparable
7998,76156,76157,inseparable
8065,58185,58186,inseparable
8080,133912,133913,inseparable
8098,77943,77944,inseparable
8104,139215,144648,inseparable
8125,206127,29,separable
8198,176196,215734,inseparable
8201,74231,74232,inseparable
8260,57830,57831,inseparable
8288,46306,46307,inseparable
8332,36875,36877,inseparable
8406,75963,75964,inseparable
8414,47526,47527,inseparable
8426,61447,61448,inseparable
8428,194569,206511,inseparable
8466,41980,41981,inseparable
8507,106704,106707,separable
8512,69055,69056,inseparable
8537,93148,93149,inseparable
8556,63003,63004,inseparable
8558,91245,91246,inseparable
8577,141603,120710,separable
8754,55162,55163,inseparable
8757,91589,91590,inseparable
8809,133678,133680,separable
8816,40106,40107,inseparable
8838,51431,51432,inseparable
8872,63122,63123,inseparable
8888,218993,221436,separable
8934,6015,6016,inseparable
8941,57563,57564,inseparable
9029,218993,221419,separable
9032,103451,101585,separable
9036,218993,221430,separable
9054,3790,3791,inseparable
9094,74978,74988,inseparable
9096,141600,120707,separable
9114,164738,116408,separable
9136,106704,106708,separable
9138,63585,63586,inseparable
9158,218993,221441,separable
9176,123150,124442,separable
9180,112523,112524,inseparable
9195,92078,92079,inseparable
9284,69229,69230,inseparable
9288,72064,72065,inseparable
9430,134335,134336,inseparable
9457,66483,66484,inseparable
9522,184302,206509,inseparable
9549,184171,206553,inseparable
9611,153920,160842,inseparable
9655,56960,56961,inseparable
9677,122988,144518,inseparable
9716,122476,144478,inseparable
9729,75829,75830,inseparable
9785,57466,57467,inseparable
9791,54764,54765,inseparable
9816,69106,69107,inseparable
9854,122211,144463,inseparable
9856,143929,144857,inseparable
9886,49066,49067,inseparable
9890,207839,208683,inseparable
9909,143664,151228,inseparable
9922,184330,206543,inseparable
9961,93013,93014,inseparable
9995,71123,71124,inseparable
10043,97553,97554,inseparable
10077,184266,214923,inseparable
10094,56594,56595,inseparable
10113,65572,65573,inseparable
10178,12143,272,separable
10219,68880,68881,inseparable
10302,122417,144475,inseparable
10310,164740,110069,separable
10328,122491,144481,inseparable
10395,42395,42396,inseparable
10412,110203,110204,inseparable
10413,138344,160557,inseparable
10463,74211,74212,inseparable
10531,46981,46982,inseparable
10536,206127,30,separable
10544,74227,74228,inseparable
10550,51435,51436,inseparable
10553,86030,86031,inseparable
10564,156455,164225,separable
10574,122913,144511,inseparable
10583,123150,124440,separable
10595,164865,125321,separable
10608,66550,66551,inseparable
10614,122660,144495,inseparable
10641,69234,69235,inseparable
10645,122485,144480,inseparable
10672,10396,10397,inseparable
10680,133678,133679,separable
10714,139099,159752,inseparable
10724,134401,134402,inseparable
10726,123151,124430,separable
10813,130428,144464,inseparable
