objectID,dimensionType,dimension,unitName
0,height,62.2,centimeters
0,width,34.8,centimeters
1,height,224.8,centimeters
1,width,77.0,centimeters
2,height,197.0,centimeters
2,width,80.0,centimeters
18,width,115.1,centimeters
18,height,148.8,centimeters
19,width,40.4,centimeters
19,height,54.2,centimeters
29,width,30.1,centimeters
29,height,95.0,centimeters
30,width,56.5,centimeters
30,height,101.5,centimeters
38,width,24.8,centimeters
38,height,33.0,centimeters
59,width,88.3,centimeters
59,height,119.7,centimeters
272,height,46.3,centimeters
272,width,49.0,centimeters
49,width,25.1,centimeters
49,height,31.3,centimeters
53,width,23.7,centimeters
53,height,33.6,centimeters
54,width,120.0,centimeters
54,height,153.0,centimeters
61,width,40.0,centimeters
61,height,44.5,centimeters
62,width,31.8,centimeters
62,height,41.0,centimeters
78,width,55.4,centimeters
78,height,68.0,centimeters
80,width,91.5,centimeters
80,height,109.7,centimeters
82,width,86.0,centimeters
82,height,103.0,centimeters
84,width,89.5,centimeters
84,height,109.9,centimeters
404,height,45.4,centimeters
404,width,12.4,centimeters
87,width,41.3,centimeters
87,height,49.2,centimeters
89,width,47.8,centimeters
89,height,59.5,centimeters
90,width,65.8,centimeters
90,height,112.0,centimeters
111,width,71.5,centimeters
111,height,92.1,centimeters
106,width,64.0,centimeters
106,height,76.0,centimeters
112,width,64.0,centimeters
112,height,76.5,centimeters
509,width,109.3,centimeters
509,height,140.3,centimeters
306,width,95.3,centimeters
306,height,123.8,centimeters
359,width,62.8,centimeters
359,height,87.6,centimeters
360,width,38.1,centimeters
360,height,54.0,centimeters
372,width,102.6,centimeters
372,height,150.2,centimeters
494,width,117.0,centimeters
494,height,55.9,centimeters
531,width,78.7,centimeters
531,height,101.3,centimeters
567,width,61.0,centimeters
567,height,77.0,centimeters
993,width,273.0,centimeters
993,height,213.5,centimeters
1115,width,76.4,centimeters
1115,height,91.6,centimeters
1144,width,111.0,centimeters
1144,height,70.8,centimeters
1145,width,76.5,centimeters
1145,height,115.5,centimeters
1149,width,77.8,centimeters
1149,height,96.0,centimeters
1167,width,53.5,centimeters
1167,height,63.5,centimeters
1170,width,145.0,centimeters
1170,height,101.0,centimeters
1174,width,127.0,centimeters
1174,height,152.5,centimeters
1173,width,66.0,centimeters
1173,height,73.5,centimeters
1182,width,188.0,centimeters
1182,height,142.2,centimeters
1180,width,21.9,centimeters
1180,height,12.6,centimeters
1181,width,18.1,centimeters
1181,height,30.1,centimeters
1185,width,104.5,centimeters
1185,height,125.1,centimeters
1194,width,148.0,centimeters
1194,height,108.5,centimeters
1195,width,107.5,centimeters
1195,height,152.5,centimeters
1205,width,49.5,centimeters
1205,height,61.5,centimeters
1212,width,63.5,centimeters
1212,height,76.0,centimeters
1219,width,123.4,centimeters
1219,height,105.5,centimeters
1221,width,106.5,centimeters
1221,height,122.0,centimeters
1222,width,106.5,centimeters
1222,height,122.0,centimeters
1237,width,17.8,centimeters
1237,height,20.0,centimeters
1228,width,105.4,centimeters
1228,height,128.9,centimeters
1227,width,102.3,centimeters
1227,height,118.8,centimeters
1229,width,105.4,centimeters
1229,height,131.0,centimeters
1230,width,139.5,centimeters
1230,height,191.5,centimeters
1231,width,138.5,centimeters
1231,height,242.9,centimeters
12133,width,161.0,centimeters
12133,height,100.0,centimeters
12135,width,50.8,centimeters
12135,height,75.5,centimeters
12146,width,31.8,centimeters
12146,height,28.4,centimeters
12199,width,59.5,centimeters
12199,height,73.5,centimeters
30221,width,38.4,centimeters
30221,height,27.3,centimeters
32678,width,137.5,centimeters
32678,height,206.1,centimeters
37636,width,53.2,centimeters
37636,height,66.7,centimeters
41590,width,45.6,centimeters
41590,height,37.3,centimeters
41600,width,32.7,centimeters
41600,height,41.7,centimeters
41613,width,46.3,centimeters
41613,height,36.2,centimeters
41640,width,171.5,centimeters
41640,height,195.0,centimeters
41654,width,164.5,centimeters
41654,height,183.0,centimeters
41678,width,56.5,centimeters
41678,height,149.0,centimeters
42930,width,68.2,centimeters
42930,height,83.2,centimeters
43429,depth,3.2,centimeters
43429,width,88.6,centimeters
43429,height,114.6,centimeters
43714,width,105.0,centimeters
43714,height,89.5,centimeters
46060,width,232.4,centimeters
46060,height,214.0,centimeters
46099,width,63.3,centimeters
46099,height,76.5,centimeters
46113,width,59.4,centimeters
46113,height,72.9,centimeters
46146,width,84.1,centimeters
46146,height,108.0,centimeters
46147,width,115.3,centimeters
46147,height,180.6,centimeters
46149,width,115.7,centimeters
46149,height,141.6,centimeters
46174,width,112.7,centimeters
46174,height,84.5,centimeters
46186,width,135.6,centimeters
46186,height,155.7,centimeters
46302,width,117.3,centimeters
46302,height,137.3,centimeters
46431,width,94.0,centimeters
46431,height,162.9,centimeters
46468,width,83.7,centimeters
46468,height,105.5,centimeters
46507,width,18.7,centimeters
46507,height,27.2,centimeters
46519,width,60.3,centimeters
46519,height,92.4,centimeters
46517,width,81.0,centimeters
46517,height,117.0,centimeters
46518,width,32.3,centimeters
46518,height,40.6,centimeters
46568,width,101.0,centimeters
46568,height,75.2,centimeters
46570,width,65.1,centimeters
46570,height,85.5,centimeters
46573,width,73.7,centimeters
46573,height,92.1,centimeters
46586,width,95.5,centimeters
46586,height,69.9,centimeters
46593,width,95.0,centimeters
46593,height,125.5,centimeters
46594,width,46.4,centimeters
46594,height,77.2,centimeters
46621,width,74.8,centimeters
46621,height,62.0,centimeters
46622,width,81.5,centimeters
46622,height,81.4,centimeters
46623,width,89.5,centimeters
46623,height,71.1,centimeters
46626,width,60.3,centimeters
46626,height,73.3,centimeters
46633,width,65.4,centimeters
46633,height,92.1,centimeters
46628,width,47.5,centimeters
46628,height,59.1,centimeters
46629,width,64.3,centimeters
46629,height,81.0,centimeters
46639,width,61.3,centimeters
46639,height,50.2,centimeters
46640,width,80.1,centimeters
46640,height,95.2,centimeters
46650,width,33.2,centimeters
46650,height,46.2,centimeters
46653,width,60.0,centimeters
46653,height,81.1,centimeters
46656,width,73.0,centimeters
46656,height,99.6,centimeters
