constituentID,preferredDisplayName,forwardDisplayName,lastName,displayDate,beginYear,endYear,visualBrowserTimeSpan,visualBrowserNationality
9,Anonymous,Anonymous,,Anonymous,,,,Other
11,"Baldung, Hans",Hans Baldung,Baldung,,,,,Other
13,Anonymous Artist,Anonymous Artist,Anonymous Artist,,,,,Other
14,"Evans, Thomas M., Mrs.",Mrs. Thomas M. Evans,Evans,"American, 1923 - 2013",1923,2013,1901 to 1925,American
15,"Haupt, Enid Annenberg",Enid Annenberg Haupt,Haupt,1906 - 2005,1906,2005,1901 to 1925,Other
16,"Altschul, Arthur G., Mr.",Mr. Arthur G. Altschul,Altschul,"American, 1920 - 2002",1920,2002,1901 to 1925,American
17,"Gaines, John R., Mr. and Mrs.",Mr. and Mrs. John R. Gaines,Gaines,he: 1928 - 2005,,,,Other
18,"Kellen, Stephen M., Mr. and Mrs.",Mr. and Mrs. Stephen M. Kellen,Kellen,he: 1914 - 2004,1914,2004,1901 to 1925,Other
19,"Mayer, Frederick R., Mr. and Mrs.",Mr. and Mrs. Frederick R. Mayer,Mayer,he: 1928 - 2007,1928,2007,1926 to 1950,Other
20,"Wood Prince, William, Mr. and Mrs.",Mr. and Mrs. William Wood Prince,Wood Prince,,,,,Other
22,"Abbott, Lemuel Francis",Lemuel Francis Abbott,Abbott,"British, c. 1755/1761 - 1802",1755,1802,1751 to 1775,British
24,"Holladay, Wallace F., Mr. and Mrs.",Mr. and Mrs. Wallace F. Holladay,Holladay,,,,,Other
25,"Pippin, Horace",Horace Pippin,Pippin,"American, 1888 - 1946",1888,1946,1876 to 1900,American
27,"Aelst, Willem van",Willem van Aelst,Aelst,"Dutch, 1627 - 1683",1627,1683,1601 to 1650,Dutch
28,"Annenberg, Walter H., The Honorable and Mrs.",The Honorable and Mrs. Walter H. Annenberg,Annenberg,he: born 1908,1908,2008,1901 to 1925,Other
29,"Cafritz Foundation, Morris and Gwendolyn, The",The Morris and Gwendolyn Cafritz Foundation,,,,,,Other
30,"de Ménil, Lois and Georges, Doctors",Doctors Lois and Georges de Ménil,de Ménil,,,,,Other
31,"Hanes, Gordon, Mr. and Mrs.",Mr. and Mrs. Gordon Hanes,Hanes,,,,,Other
32,"Heda, Willem Claesz",Willem Claesz Heda,Heda,"Dutch, 1594 - 1680",1594,1680,1551 to 1600,Dutch
33,"Stevenson, Ruth Carter, Mrs.",Mrs. Ruth Carter Stevenson,Stevenson,"American, 1923 - 2013",1923,2013,1901 to 1925,American
34,"Kogod, Robert and Arlene",Robert and Arlene Kogod,Kogod,,,,,Other
35,"Kress Foundation, Samuel H.",Samuel H. Kress Foundation,,est. 1929,1929,,1926 to 1950,Other
37,"Smith, Robert H., Mr. and Mrs.",Mr. and Mrs. Robert H. Smith,Smith,,,,,Other
38,"Stevenson, John R., The Honorable",The Honorable John R. Stevenson,Stevenson,"American, c. 1920 - 1997",1920,1997,1901 to 1925,American
39,"Wallace, DeWitt, Mrs.",Mrs. DeWitt Wallace,Wallace,,,,,Other
40,"Whitehead, John C., The Honorable",The Honorable John C. Whitehead,Whitehead,"American, 1922 - 2015",1922,2015,1901 to 1925,American
42,"Woodner, Ian",Ian Woodner,Woodner,"American, 1903 - 1990",1903,1990,1901 to 1925,American
43,"Epstein, Sarah G., Mrs.",Mrs. Sarah G. Epstein,Epstein,,,,,Other
44,"Harriman, W. Averell Mrs.",Mrs. W. Averell Harriman,Harriman,"American, 1920 - 1997",1920,1997,1901 to 1925,American
45,"Albright, Ivan",Ivan Albright,Albright,"American, 1897 - 1983",1897,1983,1876 to 1900,American
46,"Brown Foundation, Inc., The","The Brown Foundation, Inc.",,,,,,Other
48,"Benedict, Ruth B., Dr.",Dr. Ruth B. Benedict,Benedict,"American, 1913 - 1993",1913,1993,1901 to 1925,American
49,"Booth, John Lord, Mr. and Mrs.",Mr. and Mrs. John Lord Booth,Booth,,,,,Other
50,"Weber, John C., Dr. and Mrs.",Dr. and Mrs. John C. Weber,Weber,born 1932,1932,,1926 to 1950,Other
51,"Curran, Catherine G., Mrs.",Mrs. Catherine G. Curran,Curran,1926 - 2007,1926,2007,1926 to 1950,Other
52,"Ganz, Jr., Julian, Mr. and Mrs.","Mr. and Mrs. Julian Ganz, Jr.",Ganz,,,,,Other
53,"Alexander, Francis",Francis Alexander,Alexander,"American, 1800 - 1880",1800,1880,1776 to 1800,American
54,Mars Foundation,Mars Foundation,,,,,,Other
55,Private Collection c/o Josefowitz,Private Collection c/o Josefowitz,Private Collection c/o Josefowitz,,,,,Other
56,"Kahn, Harry, Mr. and Mrs.",Mr. and Mrs. Harry Kahn,Kahn,,,,,Other
57,"McNeil, Jr., Robert L., Mr. and Mrs.","Mr. and Mrs. Robert L. McNeil, Jr.",McNeil,"American, he: 1915 - 2010",,,,American
58,"Davidson, John B., Mr.",Mr. John B. Davidson,Davidson,,,,,Other
59,"Millard, Mark Jacob, Mrs.",Mrs. Mark Jacob Millard,Millard,,,,,Other
60,"Nasher, Raymond D.",Raymond D. Nasher,Nasher,1921 - 2007,1921,2007,1901 to 1925,Other
100,"Lauder, Ronald S., The Honorable and Mrs.",The Honorable and Mrs. Ronald S. Lauder,Lauder,,,,,Other
298,"Gensburg, David",David Gensburg,Gensburg,,,,,Other
61,"Allen, Luther",Luther Allen,Allen,"American, 1780 - 1821",1780,1821,1776 to 1800,American
62,"Rosenwald, Lessing J., Mrs.",Mrs. Lessing J. Rosenwald,Rosenwald,"American, died 1988",1888,1988,1876 to 1900,American
64,"Gray, Edward R., Mrs.",Mrs. Edward R. Gray,Gray,,,,,Other
65,"Wolf, Emile E.",Emile E. Wolf,Wolf,"American, 1899 - 1996",1899,1996,1876 to 1900,American
66,"Kirstein, Richard A., Mr. and Mrs.",Mr. and Mrs. Richard A. Kirstein,Kirstein,,,,,Other
67,"Atlas, Martin, Mr. and Mrs.",Mr. and Mrs. Martin Atlas,Atlas,"American, died 2018",,2018,,American
68,"Coberly, Jr., William B., Mrs.","Mrs. William B. Coberly, Jr.",Coberly,1917 - 1991,1917,1991,1901 to 1925,Other
69,"Guest Services, Inc.","Guest Services, Inc.",,,,,,Other
70,"Smith, Gerard C., The Honorable and Mrs.",The Honorable and Mrs. Gerard C. Smith,Smith,he: died 1994; she: died c. 1991,1894,1994,1876 to 1900,Other
71,"Levin, Janice H., Mrs.",Mrs. Janice H. Levin,Levin,1913 - 2001,1913,2001,1901 to 1925,Other
72,"Altdorfer, Albrecht",Albrecht Altdorfer,Altdorfer,"German, 1480 or before - 1538",1480,1538,1401 to 1500,German
73,"Carter, Edward W., Mrs.",Mrs. Edward W. Carter,Carter,,,,,Other
74,"Epstein, Lionel C., Mr.",Mr. Lionel C. Epstein,Epstein,1924 - 2017,1924,2017,1901 to 1925,Other
75,"Rockefeller, Sr., David, Mr.","Mr. David Rockefeller, Sr.",Rockefeller,,,,,Other
76,"Smith, Benjamin B., Mr. and Mrs.",Mr. and Mrs. Benjamin B. Smith,Smith,,,,,Other
77,"Brown, J. Carter, Mr. and Mrs.",Mr. and Mrs. J. Carter Brown,Brown,he: 1934  - 2002,1934,2002,1926 to 1950,Other
78,"Graham, Katharine, Mrs.",Mrs. Katharine Graham,Graham,1917 - 2001,1917,2001,1901 to 1925,Other
79,"Murphy, Franklin D., Dr. and Mrs.",Dr. and Mrs. Franklin D. Murphy,Murphy,he: died 1994,,,,Other
80,"Ames, Ezra",Ezra Ames,Ames,"American, 1768 - 1836",1768,1836,1751 to 1775,American
81,"Zelman, Julius L., Mr. and Mrs.",Mr. and Mrs. Julius L. Zelman,Zelman,,,,,Other
82,"Roosevelt, Cornelius Van Schaak, Mr.",Mr. Cornelius Van Schaak Roosevelt,Roosevelt,died 1991,1916,1991,1901 to 1925,Other
83,"Fisher, Donald G., Mr. and Mrs.",Mr. and Mrs. Donald G. Fisher,Fisher,,,,,Other
84,"Dawson, Carley R., Mrs.",Mrs. Carley R. Dawson,Dawson,,,,,Other
85,"Ames, Joseph Alexander",Joseph Alexander Ames,Ames,"American, 1816 - 1872",1816,1872,1801 to 1825,American
86,"Emmet, Anne Eustis, Mrs.",Mrs. Anne Eustis Emmet,Emmet,,,,,Other
87,"Conover, Catherine Mellon, Ms.",Ms. Catherine Mellon Conover,Conover,,,,,Other
88,"Hitchcock, Thomas, Mrs.",Mrs. Thomas Hitchcock,Hitchcock,"American, born 1901",1901,2001,1901 to 1925,American
89,"Horowitz, Raymond J., Mr. and Mrs.",Mr. and Mrs. Raymond J. Horowitz,Horowitz,they both died 2005,1905,2005,1901 to 1925,Other
90,"Laughlin, Alexander M., Mr. and Mrs.",Mr. and Mrs. Alexander M. Laughlin,Laughlin,he: born 1925; she: 1927 - 2020,1925,,1901 to 1925,American
91,Andrea di Bartolo,Andrea di Bartolo,Andrea di Bartolo,"Sienese, active  from 1389 - died 1428",1369,1428,1300 to 1400,Italian
92,"Neumann, Morton G., Mr. and Mrs.",Mr. and Mrs. Morton G. Neumann,Neumann,he: died 1985; she: died 1998,1885,1998,1876 to 1900,Other
93,"Rash, Dillman A., General",General Dillman A. Rash,Rash,,,,,Other
94,"Ryskamp, Charles A., Dr.",Dr. Charles A. Ryskamp,Ryskamp,1928 - 2010,1928,2010,1926 to 1950,Other
95,"Scaife, Richard M., Mr. and Mrs.",Mr. and Mrs. Richard M. Scaife,Scaife,"American, he: 1932 - 2014",,,,American
96,"Vogel, William D., Mrs.",Mrs. William D. Vogel,Vogel,American,,,,American
97,"Walton, John F., Mrs.",Mrs. John F. Walton,Walton,1899 - 2006,1899,2006,1876 to 1900,Other
98,"Weisman, Marcia S., Mrs.",Mrs. Marcia S. Weisman,Weisman,"American, 1918 - 1991",1918,1991,1901 to 1925,American
99,"Angelico, Fra",Fra Angelico,Angelico,"Florentine, c. 1395 - 1455",1395,1455,1300 to 1400,Italian
101,"Tremaine, Sr., Burton G., Mr. and Mrs.","Mr. and Mrs. Burton G. Tremaine, Sr.",Tremaine,"American, he: 1902 - 1991; she: 1908 - 1987",1901,1991,1901 to 1925,American
102,"Whitney, John Hay, Mrs.",Mrs. John Hay Whitney,Whitney,died 1998,1909,1998,1901 to 1925,Other
103,"Anselmi, Michelangelo",Michelangelo Anselmi,Anselmi,"Parmese, 1491/1492 - 1554/1556",1491,1556,1401 to 1500,Italian
104,"Engel, Solton, Mrs.",Mrs. Solton Engel,Engel,,,,,Other
105,"Hatch, Jr., John Davis, Mr.","Mr. John Davis Hatch, Jr.",Hatch,"American, 1907 - 1996",1907,1996,1901 to 1925,American
106,"Heinemann, Rudolf J., Mrs.",Mrs. Rudolf J. Heinemann,Heinemann,"American, died 1996",,1996,,American
107,"Josten, Peter W., Mr.",Mr. Peter W. Josten,Josten,,,,,Other
108,"Spector, Stephen, Mr.",Mr. Stephen Spector,Spector,died 1985,1905,1985,1901 to 1925,Other
109,"Kainen, Jacob, Mr. and Mrs.",Mr. and Mrs. Jacob Kainen,Kainen,"he: 1909 - 2001, she: 1922 - 2009",1909,2009,1901 to 1925,Other
110,"Vershbow, Arthur E., Mr.",Mr. Arthur E. Vershbow,Vershbow,,,,,Other
111,"Harris, Charles U., The Very Reverend and Mrs.",The Very Reverend and Mrs. Charles U. Harris,Harris,,,,,Other
112,"Furness, Thomas F., Mrs.",Mrs. Thomas F. Furness,Furness,1898 - 1986,1898,1986,1876 to 1900,Other
113,"Heinz III, H. John, The Honorable and Mrs.",The Honorable and Mrs. H. John Heinz III,Heinz III,he: 1938 - 1991,1938,1991,1926 to 1950,Other
115,"Kress, Rush H., Mrs.",Mrs. Rush H. Kress,Kress,1911 - 2003,1911,2003,1901 to 1925,Other
116,"Bass, Robert M., Mr. and Mrs.",Mr. and Mrs. Robert M. Bass,Bass,,,,,Other
