parentObjectID,childObjectID,relationship
74169,74170,inseparable
123152,124418,separable
46957,46958,inseparable
122970,144516,inseparable
164865,125320,separable
68569,68570,inseparable
218993,221438,separable
206126,8,separable
74188,74189,inseparable
3933,3934,inseparable
69092,69093,inseparable
75293,133780,separable
141607,120692,separable
141612,120716,separable
92066,92067,inseparable
91262,91263,inseparable
218993,221432,separable
67545,67546,inseparable
108233,108234,inseparable
122097,144459,inseparable
159409,167941,inseparable
163783,164741,inseparable
66561,66564,inseparable
133974,133975,inseparable
123150,124438,separable
75862,75863,inseparable
184310,206533,inseparable
74215,74216,inseparable
139301,139302,inseparable
74563,74564,inseparable
143802,151226,inseparable
63267,63268,inseparable
75853,75854,inseparable
93017,93018,inseparable
118734,144443,inseparable
66565,66566,inseparable
134403,134404,inseparable
181107,213003,inseparable
59478,59479,inseparable
218993,221427,separable
34,0,separable
74229,74230,inseparable
76100,76101,inseparable
65699,65700,separable
136962,137515,separable
1154,1156,separable
36694,36697,inseparable
69208,69209,inseparable
77435,77436,inseparable
206124,893,separable
61095,61096,inseparable
68938,68939,inseparable
62300,62301,inseparable
123178,124465,separable
60813,60814,inseparable
133596,144531,inseparable
56551,56552,inseparable
78151,78152,inseparable
133657,144546,inseparable
124424,124429,separable
181030,206609,inseparable
51437,51438,inseparable
67608,67609,inseparable
69180,69181,inseparable
143762,152255,inseparable
156455,164227,separable
128496,128497,inseparable
34,33,separable
33339,33340,inseparable
8643,8644,inseparable
76045,76046,inseparable
11389,11390,inseparable
36703,36704,inseparable
129343,144474,inseparable
36711,36714,inseparable
74978,74979,inseparable
133673,144530,inseparable
76043,76044,inseparable
42101,42102,inseparable
74241,74242,inseparable
66553,66556,inseparable
182224,206664,inseparable
69662,69663,inseparable
69013,69014,inseparable
74217,74218,inseparable
112560,112561,inseparable
214226,214225,separable
67933,67934,inseparable
143842,151202,inseparable
110205,110206,inseparable
206122,3,separable
53157,152824,inseparable
63129,63130,inseparable
137057,138673,separable
56354,56355,inseparable
122047,144454,inseparable
57428,57430,separable
45657,45658,inseparable
122767,144498,inseparable
139317,159865,inseparable
69335,69336,inseparable
98207,98208,inseparable
69065,69066,inseparable
74245,74246,inseparable
206071,41585,separable
112489,112490,inseparable
218993,221417,separable
112454,112455,inseparable
98227,98228,inseparable
63007,63008,inseparable
74978,74983,inseparable
122543,144486,inseparable
79352,79353,inseparable
159673,165316,inseparable
122916,144512,inseparable
157761,157775,inseparable
216779,55598,separable
138670,137056,separable
69227,69228,inseparable
142537,210086,inseparable
200565,205088,inseparable
760,761,inseparable
36707,36710,inseparable
132823,144410,inseparable
67540,67541,inseparable
184300,206639,inseparable
73857,73858,inseparable
4887,4888,inseparable
66770,66771,inseparable
73490,73491,inseparable
75152,75153,inseparable
77805,153274,inseparable
122404,144470,inseparable
122551,144487,inseparable
69221,69222,inseparable
194709,213864,inseparable
141602,120713,separable
53395,53396,inseparable
69254,69255,inseparable
69131,69132,inseparable
77821,77822,inseparable
71238,163768,inseparable
70333,70334,inseparable
47899,47900,inseparable
63608,63609,inseparable
56957,56958,inseparable
218993,221434,separable
98216,98217,inseparable
75944,75945,inseparable
73850,73851,inseparable
74978,74987,inseparable
216779,55597,separable
56580,56581,inseparable
67550,67551,inseparable
41633,41634,separable
77812,153163,inseparable
62976,62977,inseparable
141612,120717,separable
141602,120712,separable
112460,112461,inseparable
74978,74984,inseparable
204932,404,separable
68822,68823,inseparable
67606,67607,inseparable
59926,59927,inseparable
56146,212563,inseparable
11380,11381,inseparable
