objectID,constituentID,displayOrder,roleType,role
0,38613,1,artist,painter
1,1204,1,artist,painter
2,1327,1,artist,painter
18,1689,1,artist,painter
19,1109,1,artist,painter
29,1778,1,artist,painter
30,1778,1,artist,painter
38,119,1,artist,painter
59,1729,1,artist,artist
272,10790,1,artist,painter
49,1712,1,artist,artist
53,1878,1,artist,painter
54,1259,1,artist,painter
61,13,1,artist,painter
61,1951,2,artist,related artist
62,13,1,artist,painter
62,1951,2,artist,related artist
78,1369,1,artist,artist
80,1822,1,artist,painter
80,8351,2,artist,painter
82,1822,1,artist,artist
84,1822,1,artist,artist
404,1745,1,artist,artist
87,13,1,artist,painter
87,1950,2,artist,related artist
89,13,1,artist,painter
89,1950,2,artist,related artist
90,1356,1,artist,painter
111,1835,1,artist,artist
106,1329,1,artist,artist
112,1835,1,artist,artist
509,1927,1,artist,artist
306,413,1,artist,artist
359,1691,1,artist,painter
360,1833,1,artist,artist
372,6681,1,artist,painter
494,103,1,artist,painter
531,1028,1,artist,painter
567,1936,1,artist,painter
993,1162,1,artist,painter
1115,1911,1,artist,painter
1144,939,1,artist,painter
1145,1109,1,artist,painter
1149,1169,1,artist,artist
1167,1369,1,artist,artist
1170,1398,1,artist,artist
1174,1405,1,artist,artist
1173,1403,1,artist,artist
1182,1735,1,artist,artist
1180,1506,1,artist,artist
1181,1507,1,artist,painter
1181,3671,4,artist,painter
1185,1744,1,artist,artist
1194,1808,1,artist,artist
1195,1811,1,artist,painter
1205,1822,2,artist,related artist
1205,5637,3,artist,painter
1205,8351,1,artist,painter
1212,6629,1,artist,painter
1219,1850,1,artist,artist
1221,1932,1,artist,painter
1221,49427,2,artist,painter
1222,1932,1,artist,painter
1222,49427,2,artist,painter
1237,1951,1,artist,painter
1228,1259,1,artist,artist
1227,1259,1,artist,artist
1229,1259,1,artist,artist
1230,1259,1,artist,artist
1231,1259,1,artist,artist
12133,1489,1,artist,painter
12135,13,1,artist,painter
12135,936,2,artist,related artist
12146,1230,1,artist,artist
12199,975,1,artist,artist
30221,970,1,artist,artist
32678,1928,1,artist,artist
37636,1087,1,artist,artist
41590,1341,1,artist,painter
41600,1256,1,artist,artist
41613,99,1,artist,artist
41640,1182,1,artist,artist
41654,8344,1,artist,painter
41678,1311,1,artist,artist
42930,1902,1,artist,artist
43429,1176,1,artist,artist
43714,2819,1,artist,artist
46060,1927,1,artist,artist
46099,1942,1,artist,painter
46113,1212,1,artist,painter
46146,1952,1,artist,painter
46146,37351,3,artist,painter
46147,1952,1,artist,painter
46147,49428,3,artist,painter
46149,1967,1,artist,artist
46174,1370,1,artist,artist
46186,1874,1,artist,artist
46302,1267,1,artist,painter
46431,1858,1,artist,artist
46468,1353,2,artist,related artist
46468,49426,1,artist,painter
46507,1390,1,artist,artist
46519,1722,1,artist,artist
46517,1720,1,artist,artist
46518,1720,1,artist,artist
46568,1090,1,artist,artist
46570,1107,1,artist,artist
46573,1107,1,artist,artist
46586,1169,1,artist,artist
46593,13,1,artist,painter
46593,1212,2,artist,related artist
46594,1213,1,artist,painter
46621,1275,1,artist,artist
46622,1323,1,artist,artist
46623,1330,1,artist,painter
46626,1349,1,artist,painter
46633,1464,1,artist,artist
46628,13,1,artist,painter
46628,1349,2,artist,related artist
46629,1361,1,artist,painter
46639,1592,1,artist,artist
46640,1706,1,artist,artist
46650,1722,1,artist,artist
46653,1726,1,artist,artist
46656,1726,1,artist,artist
46658,1726,1,artist,artist
46659,1728,1,artist,artist
46679,1823,1,artist,artist
50291,1162,1,artist,painter
50722,1352,1,artist,artist
50725,1479,1,artist,painter
50726,1429,1,artist,artist
51096,6818,2,artist,painter
51096,8352,1,artist,painter
52154,979,1,artist,artist
52164,1114,1,artist,artist
52161,1002,1,artist,artist
52173,1223,1,artist,artist
52184,1706,1,artist,artist
52182,13,1,artist,painter
52182,1506,2,artist,related artist
52188,1726,1,artist,artist
52190,1731,1,artist,painter
52194,1733,1,artist,artist
52197,1791,1,artist,artist
52199,1791,1,artist,artist
52269,13,1,artist,painter
52269,1642,2,artist,related artist
52225,1870,1,artist,artist
52241,1960,1,artist,artist
52390,1721,1,artist,artist
53116,45,1,artist,painter
53125,1174,1,artist,artist
53131,1444,1,artist,painter
53528,8370,1,artist,painter
61250,1223,1,artist,artist
61353,940,1,artist,painter
61373,1721,1,artist,artist
61369,1330,1,artist,painter
61380,1755,1,artist,artist
61381,1755,1,artist,artist
61377,1726,1,artist,artist
61382,1823,1,artist,artist
66405,1115,1,artist,artist
66408,1174,1,artist,artist
66413,1260,1,artist,artist
66420,1401,1,artist,artist
66421,1481,1,artist,artist
67436,1839,1,artist,painter
67494,1839,1,artist,painter
67499,1839,1,artist,painter
67504,1839,1,artist,painter
67506,1839,1,artist,painter
67507,1839,1,artist,painter
67513,1839,1,artist,painter
72324,1761,1,artist,artist
74991,9677,1,artist,painter
75023,1911,1,artist,artist
89684,1820,1,artist,painter
93046,1330,1,artist,painter
93047,1448,1,artist,painter
96688,559,1,artist,painter
97063,1858,1,artist,artist
102150,6903,1,artist,painter
102627,21409,1,artist,painter
106380,1252,1,artist,painter
106381,22738,1,artist,painter
107711,6903,1,artist,painter
110278,1780,1,artist,painter
110279,1780,1,artist,painter
164917,1252,1,artist,artist
164918,1275,1,artist,artist
166427,6707,1,artist,painter
166430,2380,1,artist,painter
166461,39651,1,artist,artist
166467,38659,1,artist,painter
435,1932,1,artist,painter
309,1139,1,artist,artist
4,1327,1,artist,painter
5,99,1,artist,painter
3,1327,1,artist,painter
109,1811,1,artist,artist
110,1811,1,artist,artist
560,1029,1,artist,painter
566,1372,1,artist,artist
984,965,1,artist,artist
989,1917,1,artist,artist
1095,6632,1,artist,painter
1097,1258,1,artist,artist
1098,1258,1,artist,artist
1108,1911,1,artist,painter
1109,6647,1,artist,painter
1124,1914,1,artist,artist
1125,1914,2,artist,artist
1125,5529,1,artist,artist
1127,1914,1,artist,artist
1129,1914,1,artist,artist
1130,1948,1,artist,artist
1131,6347,1,artist,artist
1132,1963,1,artist,artist
1134,1981,1,artist,painter
1135,1981,1,artist,painter
1161,1329,1,artist,artist
1233,1259,1,artist,artist
1213,1825,1,artist,artist
1215,13,1,artist,painter
1215,1825,2,artist,artist after
1239,1421,1,artist,artist
3153,1266,1,artist,artist
3158,1914,1,artist,artist
3206,2818,1,artist,painter
3209,1942,1,artist,painter
30213,1315,1,artist,artist
30215,1315,1,artist,artist
30216,1315,1,artist,artist
30229,1417,1,artist,artist
30345,1917,1,artist,artist
30744,1803,1,artist,painter
32581,53,1,artist,artist
32591,1914,1,artist,artist
33962,1265,1,artist,painter
34045,1792,1,artist,painter
34050,1254,1,artist,artist
34051,1265,1,artist,artist
34052,1265,1,artist,artist
34070,2825,1,artist,painter
34055,1408,1,artist,artist
34057,1942,1,artist,painter
34059,1914,1,artist,artist
34060,1925,1,artist,painter
34061,1936,1,artist,painter
34062,1948,1,artist,artist
34076,1029,1,artist,painter
34064,1775,1,artist,artist
34065,1958,1,artist,artist
34066,53,1,artist,artist
34072,6890,1,artist,painter
34083,5554,1,artist,painter
34085,1942,1,artist,painter
34092,1942,1,artist,painter
34093,1265,1,artist,artist
34096,2825,1,artist,painter
34104,1408,1,artist,artist
34105,1408,1,artist,artist
34110,1422,1,artist,artist
34111,1423,1,artist,artist
34129,1747,1,artist,artist
34115,1942,1,artist,painter
34117,2832,1,artist,painter
34122,6690,1,artist,painter
34122,6691,2,artist,painter
34125,1747,1,artist,artist
34126,1747,1,artist,artist
34128,1942,1,artist,painter
34130,1747,1,artist,painter
34133,1775,1,artist,artist
34159,1911,2,artist,artist after
34159,1914,1,artist,painter
34135,2825,1,artist,painter
34146,8351,1,artist,painter
34148,5554,1,artist,painter
34154,13,1,artist,painter
34154,1911,2,artist,artist after
34156,1914,1,artist,artist
34193,1326,1,artist,artist
34641,1748,1,artist,painter
35085,1114,1,artist,artist
35086,1169,1,artist,artist
35090,1363,2,artist,related artist
35090,8333,1,artist,painter
35145,1241,1,artist,painter
35146,1375,1,artist,painter
39761,1975,1,artist,artist
39764,128,1,artist,painter
41610,6628,1,artist,painter
41692,1927,1,artist,artist
41726,1856,1,artist,artist
42385,1480,1,artist,artist
42392,1871,1,artist,artist
42410,1160,1,artist,artist
42409,1150,1,artist,artist
42414,1265,1,artist,artist
42415,1265,1,artist,artist
42416,1265,1,artist,artist
42417,1265,1,artist,artist
42424,1420,1,artist,painter
42426,1482,1,artist,artist
42427,750,1,artist,painter
42428,1504,1,artist,artist
42431,1781,1,artist,artist
42432,1781,1,artist,artist
42433,1781,1,artist,artist
42438,5516,1,artist,painter
42438,6889,2,artist,painter
42439,1920,1,artist,artist
42440,1942,1,artist,artist
42444,5520,1,artist,painter
42446,6867,1,artist,painter
42447,6720,1,artist,painter
42450,1942,1,artist,artist
42451,1942,1,artist,artist
42458,1879,1,artist,artist
42460,750,1,artist,painter
42462,1781,1,artist,painter
42467,1942,1,artist,artist
42473,5518,1,artist,painter
42479,1942,1,artist,artist
42489,2818,1,artist,artist
42481,1942,1,artist,artist
42483,5521,1,artist,artist
42485,1942,1,artist,artist
42486,1942,1,artist,artist
42494,2818,1,artist,artist
42509,2197,1,artist,artist
42854,1711,1,artist,painter
42914,1452,1,artist,painter
42915,1175,1,artist,artist
42917,6895,1,artist,painter
42918,1265,1,artist,artist
42922,13,1,artist,painter
42922,1911,2,artist,artist after
43201,1835,1,artist,artist
43436,1942,1,artist,artist
43450,1299,1,artist,artist
43442,1898,1,artist,artist
43443,1942,1,artist,artist
43445,1834,1,artist,artist
43451,1299,1,artist,artist
43595,2967,1,artist,painter
43599,6633,1,artist,painter
43610,1927,1,artist,artist
43631,1299,1,artist,artist
43632,1378,1,artist,artist
43637,2818,1,artist,painter
43640,1942,1,artist,artist
43673,1260,1,artist,artist
43674,1260,1,artist,artist
43675,1747,1,artist,artist
43676,1747,1,artist,artist
43705,1747,1,artist,artist
43707,133,1,artist,painter
43708,133,1,artist,painter
43711,1134,1,artist,artist
43712,1150,1,artist,artist
45644,13,1,artist,painter
45644,1363,2,artist,related artist
45852,654,1,artist,artist
46530,1812,1,artist,artist
45854,1021,1,artist,artist
45855,1030,1,artist,artist
46048,29690,1,artist,painter
46537,1831,1,artist,artist
45857,1934,1,artist,artist
45860,2818,1,artist,artist
46049,8293,1,artist,painter
46049,27579,2,artist,related artist
46066,1977,1,artist,artist
46527,1783,1,artist,artist
46539,1942,1,artist,painter
46539,2308,4,artist,painter
46539,2819,3,artist,painter
46539,2826,2,artist,painter
46528,1783,1,artist,artist
46540,1905,1,artist,artist
46425,1176,1,artist,artist
46561,979,1,artist,artist
46563,1027,1,artist,painter
45879,1974,1,artist,artist
45883,1265,1,artist,artist
45960,1942,1,artist,artist
45963,1781,1,artist,painter
45966,5520,1,artist,painter
46564,1027,1,artist,artist
46025,8299,1,artist,painter
46041,1325,1,artist,artist
46046,1390,1,artist,artist
46054,8367,1,artist,painter
46550,1448,1,artist,artist
46192,1871,1,artist,artist
46565,1027,1,artist,artist
46566,1027,1,artist,artist
46508,1390,1,artist,artist
46567,1027,1,artist,artist
46486,1205,1,artist,artist
46487,1209,1,artist,artist
46488,1209,1,artist,artist
46495,1223,1,artist,artist
46496,1223,1,artist,artist
46497,1252,1,artist,artist
46501,1315,1,artist,artist
46515,1706,1,artist,artist
46510,1464,1,artist,artist
46511,1475,1,artist,artist
46514,1706,1,artist,artist
46548,1223,1,artist,artist
46547,1223,1,artist,artist
46551,1722,1,artist,artist
46552,1722,1,artist,artist
46553,1947,1,artist,artist
46581,1942,2,artist,painter
46581,6347,1,artist,artist
46582,1218,1,artist,painter
46605,1223,1,artist,artist
46587,1174,1,artist,artist
46590,1205,1,artist,artist
46603,1223,1,artist,artist
46604,1223,1,artist,artist
46606,1223,1,artist,artist
46607,1231,1,artist,artist
46609,1234,1,artist,painter
46610,1234,1,artist,painter
46611,1248,1,artist,painter
46612,1248,1,artist,painter
46613,1248,1,artist,painter
46614,1248,1,artist,painter
46615,1251,1,artist,artist
46616,1251,1,artist,artist
46617,1252,1,artist,artist
46618,1252,1,artist,artist
46631,1379,1,artist,artist
46634,1475,1,artist,artist
46635,1500,1,artist,artist
46641,1706,1,artist,artist
46642,1706,1,artist,artist
46643,1706,1,artist,artist
46664,1783,1,artist,artist
46665,1783,1,artist,artist
46666,1783,1,artist,artist
46667,1783,1,artist,artist
46668,1783,1,artist,artist
46669,1783,1,artist,artist
46670,1783,1,artist,artist
46671,1783,1,artist,artist
46672,1783,1,artist,artist
46677,1817,1,artist,artist
46690,1877,1,artist,artist
