constituentID,preferredDisplayName,forwardDisplayName,lastName,displayDate,beginYear,endYear,visualBrowserTimeSpan,visualBrowserNationality
11,"Baldung, Hans",Hans Baldung,Baldung,,,,,Other
13,Anonymous Artist,Anonymous Artist,Anonymous Artist,,,,,Other
22,"Abbott, Lemuel Francis",Lemuel Francis Abbott,Abbott,"British, c. 1755/1761 - 1802",1755.0,1802.0,1751 to 1775,British
25,"Pippin, Horace",Horace Pippin,Pippin,"American, 1888 - 1946",1888.0,1946.0,1876 to 1900,American
27,"Aelst, Willem van",Willem van Aelst,Aelst,"Dutch, 1627 - 1683",1627.0,1683.0,1601 to 1650,Dutch
32,"Heda, Willem Claesz",Willem Claesz Heda,Heda,"Dutch, 1594 - 1680",1594.0,1680.0,1551 to 1600,Dutch
45,"Albright, Ivan",Ivan Albright,Albright,"American, 1897 - 1983",1897.0,1983.0,1876 to 1900,American
53,"Alexander, Francis",Francis Alexander,Alexander,"American, 1800 - 1880",1800.0,1880.0,1776 to 1800,American
61,"Allen, Luther",Luther Allen,Allen,"American, 1780 - 1821",1780.0,1821.0,1776 to 1800,American
72,"Altdorfer, Albrecht",Albrecht Altdorfer,Altdorfer,"German, 1480 or before - 1538",1480.0,1538.0,1401 to 1500,German
80,"Ames, Ezra",Ezra Ames,Ames,"American, 1768 - 1836",1768.0,1836.0,1751 to 1775,American
91,Andrea di Bartolo,Andrea di Bartolo,Andrea di Bartolo,"Sienese, active  from 1389 - died 1428",1369.0,1428.0,1300 to 1400,Italian
99,"Angelico, Fra",Fra Angelico,Angelico,"Florentine, c. 1395 - 1455",1395.0,1455.0,1300 to 1400,Italian
103,"Anselmi, Michelangelo",Michelangelo Anselmi,Anselmi,"Parmese, 1491/1492 - 1554/1556",1491.0,1556.0,1401 to 1500,Italian
119,Antonello da Messina,Antonello da Messina,Antonello da Messina,"Sicilian, c. 1430 - 1479",1430.0,1479.0,1401 to 1500,Italian
121,"Aspertini, Amico",Amico Aspertini,Aspertini,"Ferrarese-Bolognese, 1474/1475 - 1552",1474.0,1552.0,1401 to 1500,Italian
122,"Audubon, John James",John James Audubon,Audubon,"American, 1785 - 1851",1785.0,1851.0,1776 to 1800,American
128,"Audubon, John Woodhouse",John Woodhouse Audubon,Audubon,"American, 1812 - 1862",1812.0,1862.0,1801 to 1825,American
129,"Avercamp, Hendrick",Hendrick Avercamp,Avercamp,"Dutch, 1585 - 1634",1585.0,1634.0,1551 to 1600,Dutch
131,Bacchiacca,Bacchiacca,Bacchiacca,"Florentine, 1494 - 1557",1494.0,1557.0,1401 to 1500,Italian
132,"Bacon, Francis",Francis Bacon,Bacon,"British, 1909 - 1992",1909.0,1992.0,1901 to 1925,British
133,"Badger, Joseph",Joseph Badger,Badger,"American, 1708 - 1765",1708.0,1765.0,1701 to 1725,American
181,"Baer, George",George Baer,Baer,"American, 1893 - 1971",1893.0,1971.0,1876 to 1900,American
227,"Baj, Enrico",Enrico Baj,Baj,"Italian, 1924 - 2003",1924.0,2003.0,1901 to 1925,Italian
413,"Barocci, Federico",Federico Barocci,Barocci,"Italian, probably 1535 - 1612",1535.0,1612.0,1501 to 1550,Italian
297,Gemini G.E.L.,Gemini G.E.L.,,,,,,American
323,"Baldung Grien, Hans",Hans Baldung Grien,Baldung Grien,"German, 1484/1485 - 1545",1484.0,1545.0,1401 to 1500,German
348,"Davies, T.",T. Davies,Davies,"American, active 1827",1747.0,1887.0,1726 to 1750,American
365,"Bard, James",James Bard,Bard,"American, 1815 - 1897",1815.0,1897.0,1801 to 1825,American
431,"Meyer, Agnes Ernst",Agnes Ernst Meyer,Meyer,"American, 1887 - 1970",1887.0,1970.0,1876 to 1900,American
462,Bartolomeo Veneto,Bartolomeo Veneto,Bartolomeo Veneto,"Lombard-Venetian, active 1502 - 1531",1482.0,1531.0,1401 to 1500,Italian
506,"Rosenberg, Paul",Paul Rosenberg,Rosenberg,"French, 1881 - 1959",1881.0,1959.0,1876 to 1900,French
510,"Basaiti, Marco",Marco Basaiti,Basaiti,"Venetian, active 1496 - 1530",1476.0,1530.0,1401 to 1500,Italian
546,"Sloan, Helen Farr",Helen Farr Sloan,Sloan,"American, 1911 - 2005",1911.0,2005.0,1901 to 1925,American
618,"Wendell, William G.",Mr. William G. Wendell,Wendell,,,,,Other
559,"Bassano, Jacopo",Jacopo Bassano,Bassano,"Venetian, c. 1510 - 1592",1510.0,1592.0,1501 to 1550,Italian
607,"Bastien-Lepage, Jules",Jules Bastien-Lepage,Bastien-Lepage,"French, 1848 - 1884",1848.0,1884.0,1826 to 1850,French
654,"Bauman, Leila T.",Leila T. Bauman,Bauman,"American, active 1850 or after",1770.0,1910.0,1751 to 1775,American
677,Galerie Beyeler,Galerie Beyeler,,,,,,Other
680,"Bonafous-Murat, Arsene, Monsieur",Monsieur Arsene Bonafous-Murat,Bonafous-Murat,,,,,Other
694,Castelli Galleries,Castelli Galleries,,est. 1957,,,,Other
702,"Bazille, Frédéric",Frédéric Bazille,Bazille,"French, 1841 - 1870",1841.0,1870.0,1826 to 1850,French
703,"Colnaghi & Co., Ltd., P. & D.","P. & D. Colnaghi & Co., Ltd.",,,,,,Other
741,Xavier Fourcade Gallery,Xavier Fourcade Gallery,,1970 - 1987,1970.0,1987.0,1951 to 1975,American
750,"Beardsley Limner, The",The Beardsley Limner,Beardsley Limner,"American, active 1785/1805",1725.0,1845.0,1701 to 1725,American
786,Kennedy Galleries,Kennedy Galleries,,,1874.0,,1851 to 1875,American
789,"Knoedler & Company, M.",M. Knoedler & Company,,1846 - 2011,1846.0,2011.0,1826 to 1850,American
797,"Knight, Gwendolyn",Gwendolyn Knight,Knight,"American, 1913 - 2005",1913.0,2005.0,1901 to 1925,American
800,"Beccafumi, Domenico",Domenico Beccafumi,Beccafumi,"Sienese, c. 1485 - 1551",1485.0,1551.0,1401 to 1500,Italian
810,Marlborough Gallery,Marlborough Gallery,,,,,,Other
827,"Multiples, Inc.","Multiples, Inc.",,,,,,Other
850,"Beckett, Francis A.",Francis A. Beckett,Beckett,"American, c. 1833 - 1884 or after",1833.0,1913.0,1826 to 1850,American
870,"Beckmann, Max",Max Beckmann,Beckmann,"German, 1884 - 1950",1884.0,1950.0,1876 to 1900,German
900,"Beechey, William, Sir",Sir William Beechey,Beechey,"British, 1753 - 1839",1753.0,1839.0,1751 to 1775,British
936,"Bellini, Giovanni",Giovanni Bellini,Bellini,"Venetian, c. 1430/1435 - 1516",1430.0,1516.0,1401 to 1500,Italian
939,"Bellotto, Bernardo",Bernardo Bellotto,Bellotto,"Venetian, 1722 - 1780",1722.0,1780.0,1701 to 1725,Italian
940,"Bellows, George",George Bellows,Bellows,"American, 1882 - 1925",1882.0,1925.0,1876 to 1900,American
942,"Benaglio, Francesco",Francesco Benaglio,Benaglio,"Veronese, c. 1432 - 1492",1432.0,1492.0,1401 to 1500,Italian
949,"Benson, Frank Weston",Frank Weston Benson,Benson,"American, 1862 - 1951",1862.0,1951.0,1851 to 1875,American
953,"Benton, Thomas Hart",Thomas Hart Benton,Benton,"American, 1889 - 1975",1889.0,1975.0,1876 to 1900,American
954,Benvenuto di Giovanni,Benvenuto di Giovanni,Benvenuto di Giovanni,"Sienese, 1436 - before 1517",1436.0,1517.0,1401 to 1500,Italian
959,"Béraud, Jean",Jean Béraud,Béraud,"French, 1849 - 1936",1849.0,1936.0,1826 to 1850,French
961,"Zanguidi, called Bertoia, Jacopo","Jacopo Zanguidi, called Bertoia","Zanguidi, called Bertoia","Parmese, 1544 - 1573/1574",1544.0,1574.0,1501 to 1550,Italian
962,"Besnard, Albert",Albert Besnard,Besnard,"French, 1849 - 1934",1849.0,1934.0,1826 to 1850,French
963,Biagio d'Antonio,Biagio d'Antonio,Biagio d'Antonio,"Florentine, c. 1446 - 1516",1446.0,1516.0,1401 to 1500,Italian
965,"Birley, Oswald Hornby Joseph, Sir",Sir Oswald Hornby Joseph Birley,Birley,"British, 1880 - 1952",1880.0,1952.0,1876 to 1900,British
968,"Blackburn, Joseph",Joseph Blackburn,Blackburn,"British, active 1752/1777",1697.0,1812.0,1651 to 1700,British
970,"Blake, William",William Blake,Blake,"British, 1757 - 1827",1757.0,1827.0,1751 to 1775,British
972,"Blakelock, Ralph Albert",Ralph Albert Blakelock,Blakelock,"American, 1847 - 1919",1847.0,1919.0,1826 to 1850,American
973,"Bloch, Martin",Martin Bloch,Bloch,"German, 1883 - 1954",1883.0,1954.0,1876 to 1900,German
974,"Böcklin, Arnold",Arnold Böcklin,Böcklin,"Swiss, 1827 - 1901",1827.0,1901.0,1826 to 1850,Swiss
975,"Boilly, Louis-Léopold",Louis-Léopold Boilly,Boilly,"French, 1761 - 1845",1761.0,1845.0,1751 to 1775,French
976,"Boltraffio, Giovanni Antonio",Giovanni Antonio Boltraffio,Boltraffio,"Milanese, 1467 - 1516",1467.0,1516.0,1401 to 1500,Italian
977,"Bond, Charles V.",Charles V. Bond,Bond,"American, c. 1825 - 1866",1825.0,1866.0,1801 to 1825,American
978,"Bonington, Richard Parkes",Richard Parkes Bonington,Bonington,"British, 1802 - 1828",1802.0,1828.0,1801 to 1825,British
979,"Bonnard, Pierre",Pierre Bonnard,Bonnard,"French, 1867 - 1947",1867.0,1947.0,1851 to 1875,French
1012,"Bouts, Dirck",Dirck Bouts,Bouts,"Netherlandish, c. 1415/1420 - 1475",1415.0,1475.0,1401 to 1500,Netherlandish
980,"Bonnell, William",William Bonnell,Bonnell,"American, 1804 - 1865",1804.0,1865.0,1801 to 1825,American
983,"Borch the Younger, Gerard ter",Gerard ter Borch the Younger,Borch the Younger,"Dutch, 1617 - 1681",1617.0,1681.0,1601 to 1650,Dutch
984,"Bordone, Paris",Paris Bordone,Bordone,"Venetian, 1500 - 1571",1500.0,1571.0,1401 to 1500,Italian
